epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0535,1.29633,2.78847,1.48404,0.00333,1,0.78806,0.5716,0.68574,3.00977,1.13238,0.00012,0.00012,0.00012
2,66.8414,1.01778,2.09865,1.32645,0.00728,0.98182,0.96017,0.7663,0.68822,2.6969,1.10708,0.000256783,0.000256783,0.000256783
3,94.7679,0.9292,1.50513,1.24876,1,0.80624,0.96224,0.74565,0.77335,2.29311,1.21608,0.0003901,0.0003901,0.0003901
4,124.725,0.91519,1.43599,1.22426,1,0.48417,0.92695,0.72116,0.75883,2.49523,1.18002,0.000519953,0.000519953,0.000519953
5,155.207,0.80127,1.33216,1.17103,0.97713,0.77689,0.94801,0.74699,0.78614,2.38966,1.157,0.00064634,0.00064634,0.00064634
6,176.077,0.89218,1.45073,1.21907,0.96093,0.89442,0.94009,0.77366,0.77022,2.01888,1.18738,0.000769263,0.000769263,0.000769263
7,196.529,0.94304,1.40262,1.29057,0.96804,0.90909,0.94522,0.76595,0.76933,1.97776,1.19799,0.00088872,0.00088872,0.00088872
8,216.779,0.85167,1.23784,1.14922,0.80136,0.88028,0.90763,0.62629,0.88641,2.19392,1.35274,0.00100471,0.00100471,0.00100471
9,237.129,0.84902,1.26661,1.18891,0.74463,0.90135,0.84011,0.56982,0.83862,2.20779,1.34335,0.00111724,0.00111724,0.00111724
10,263.057,0.89483,1.24375,1.19862,0.82051,0.83123,0.849,0.60138,0.88473,2.20857,1.31956,0.0012263,0.0012263,0.0012263
11,283.876,0.96026,1.26132,1.19823,0.87948,0.79611,0.90048,0.66137,0.8748,1.89875,1.20213,0.0013319,0.0013319,0.0013319
12,304.415,0.92993,1.30593,1.28388,0.95831,0.83579,0.91584,0.73999,0.79449,1.68845,1.12975,0.00143403,0.00143403,0.00143403
13,324.771,0.95915,1.30697,1.25085,0.97815,0.92727,0.93621,0.74342,0.80146,1.66814,1.16356,0.0015327,0.0015327,0.0015327
14,344.835,0.9218,1.27404,1.22086,0.97815,0.92727,0.93621,0.74342,0.80146,1.66814,1.16356,0.0016279,0.0016279,0.0016279
15,366.746,0.98264,1.229,1.25164,0.992,0.90909,0.94371,0.72509,0.84555,1.64454,1.15779,0.0016535,0.0016535,0.0016535
16,387.884,1.02168,1.33802,1.31636,0.9973,0.83636,0.91668,0.68416,0.97896,1.49434,1.2816,0.00162875,0.00162875,0.00162875
17,408.538,1.0197,1.31867,1.32346,0.91516,0.90909,0.93782,0.70002,0.92306,1.45221,1.25326,0.001604,0.001604,0.001604
18,428.504,0.87059,1.17998,1.19104,0.92228,0.86311,0.92275,0.72177,0.83671,1.3917,1.17754,0.00157925,0.00157925,0.00157925
19,450.635,0.91419,1.2728,1.24339,1,0.88847,0.94303,0.76206,0.75283,1.1923,1.12876,0.0015545,0.0015545,0.0015545
20,477.764,0.87328,1.071,1.19041,0.99712,0.92727,0.94876,0.77695,0.79836,1.17892,1.12191,0.00152975,0.00152975,0.00152975
21,505.595,0.84526,1.02924,1.1224,0.97981,0.94545,0.94621,0.76596,0.79354,1.13932,1.17463,0.001505,0.001505,0.001505
22,530.469,0.90936,1.15501,1.22568,0.97981,0.94545,0.94621,0.76596,0.79354,1.13932,1.17463,0.00148025,0.00148025,0.00148025
23,550.352,0.85819,1.00765,1.15623,0.99439,0.94545,0.9458,0.76053,0.81249,1.18512,1.17376,0.0014555,0.0014555,0.0014555
24,572.657,0.86848,1.02309,1.18638,0.9982,0.94545,0.95148,0.79291,0.68221,1.05255,1.07978,0.00143075,0.00143075,0.00143075
25,600.829,0.74934,0.9361,1.08702,0.99938,0.94545,0.95634,0.78822,0.66592,1.0638,1.03451,0.001406,0.001406,0.001406
26,627.908,0.79336,0.97765,1.10616,0.9268,0.94545,0.93758,0.79136,0.66489,1.06364,1.04369,0.00138125,0.00138125,0.00138125
27,656.032,0.67179,0.88938,1.06457,0.97895,0.94545,0.95335,0.79781,0.74028,1.09732,1.06281,0.0013565,0.0013565,0.0013565
28,710.023,0.75332,1.00926,1.12779,0.97975,0.94545,0.95919,0.80948,0.73578,1.1173,1.07997,0.00133175,0.00133175,0.00133175
29,782.566,0.79833,0.95162,1.12417,0.9978,0.94545,0.94552,0.8044,0.67118,0.98628,1.06758,0.001307,0.001307,0.001307
30,832.875,0.76331,0.90251,1.10637,0.9978,0.94545,0.94552,0.8044,0.67118,0.98628,1.06758,0.00128225,0.00128225,0.00128225
31,874.653,0.83795,1.02298,1.17267,0.99765,0.94545,0.94523,0.83404,0.65498,0.95875,1.05714,0.0012575,0.0012575,0.0012575
32,914.858,0.84719,0.98154,1.14255,0.99783,0.94545,0.94641,0.82604,0.67129,0.9742,1.04716,0.00123275,0.00123275,0.00123275
33,957.359,0.90826,0.96174,1.16512,0.98111,0.94427,0.96606,0.80574,0.69341,0.98374,1.03752,0.001208,0.001208,0.001208
34,999.774,0.79605,0.91156,1.08441,0.99836,0.94545,0.95146,0.84223,0.59941,0.89017,1.01527,0.00118325,0.00118325,0.00118325
35,1043.13,0.73675,0.85039,1.11538,0.99877,0.94545,0.95779,0.83897,0.58262,0.83976,1.01974,0.0011585,0.0011585,0.0011585
36,1092.55,0.71045,0.86129,1.07624,0.99871,0.94545,0.95197,0.81962,0.64526,0.8276,1.04728,0.00113375,0.00113375,0.00113375
37,1143.91,0.78756,0.83637,1.11359,0.99871,0.94545,0.94941,0.82167,0.64086,0.81838,1.03845,0.001109,0.001109,0.001109
38,1189.36,0.73621,0.86296,1.08504,0.99871,0.94545,0.94941,0.82167,0.64086,0.81838,1.03845,0.00108425,0.00108425,0.00108425
39,1237.2,0.75582,0.83061,1.07341,0.99824,0.94545,0.95821,0.85217,0.5671,0.79186,1.00316,0.0010595,0.0010595,0.0010595
40,1275.89,0.74602,0.82827,1.05645,0.99888,0.94545,0.96197,0.83774,0.56769,0.79207,0.98094,0.00103475,0.00103475,0.00103475
41,1313.26,0.74149,0.77049,1.11489,0.999,0.94545,0.96659,0.84179,0.59946,0.77408,0.97573,0.00101,0.00101,0.00101
42,1347.1,0.70442,0.73139,1.06633,0.99876,0.94545,0.96401,0.8517,0.59272,0.77412,0.97389,0.00098525,0.00098525,0.00098525
43,1377.35,0.70835,0.76344,1.09308,0.99811,0.94545,0.96367,0.8427,0.5589,0.75524,0.95358,0.0009605,0.0009605,0.0009605
44,1406.96,0.71254,0.72267,1.05465,0.99637,0.94545,0.96277,0.83946,0.56238,0.75265,0.95377,0.00093575,0.00093575,0.00093575
45,1441.22,0.71903,0.74744,1.08255,0.99653,0.94545,0.96476,0.83682,0.56947,0.7531,0.95466,0.000911,0.000911,0.000911
46,1462.75,0.68209,0.74666,1.07566,0.99653,0.94545,0.96476,0.83682,0.56947,0.7531,0.95466,0.00088625,0.00088625,0.00088625
47,1481.88,0.69561,0.75122,1.09392,0.99804,0.94545,0.96448,0.85701,0.54975,0.73841,0.95397,0.0008615,0.0008615,0.0008615
48,1499.66,0.80687,0.85737,1.1082,0.99766,0.94545,0.96433,0.83489,0.56442,0.74221,0.96544,0.00083675,0.00083675,0.00083675
49,1517.26,0.75178,0.80279,1.09142,0.9981,0.94545,0.96433,0.84199,0.54646,0.73114,0.95702,0.000812,0.000812,0.000812
50,1535.13,0.68769,0.75243,1.06463,0.99805,0.94545,0.9456,0.84986,0.53885,0.73596,0.95151,0.00078725,0.00078725,0.00078725
51,1553.22,0.6608,0.73969,1.03369,0.99834,0.94545,0.94571,0.84468,0.55248,0.71499,0.95223,0.0007625,0.0007625,0.0007625
52,1571.6,0.70851,0.77023,1.09124,0.99809,0.94545,0.94984,0.84313,0.55789,0.70811,0.96498,0.00073775,0.00073775,0.00073775
53,1589.75,0.65936,0.71445,1.09237,0.99854,0.94545,0.94557,0.85441,0.52385,0.69638,0.93386,0.000713,0.000713,0.000713
54,1607.92,0.69163,0.72965,1.05755,0.99854,0.94545,0.94557,0.85441,0.52385,0.69638,0.93386,0.00068825,0.00068825,0.00068825
55,1627.11,0.63904,0.66408,1.00864,0.99857,0.94545,0.96513,0.86137,0.50958,0.67477,0.92021,0.0006635,0.0006635,0.0006635
56,1647.89,0.65537,0.66169,1.00839,0.9982,0.94545,0.94549,0.85771,0.51288,0.65947,0.92846,0.00063875,0.00063875,0.00063875
57,1690.8,0.67242,0.63923,1.02233,0.99752,0.94545,0.94522,0.85854,0.52143,0.65073,0.94359,0.000614,0.000614,0.000614
58,1710.37,0.67129,0.73557,1.03921,0.9971,0.94545,0.94519,0.86629,0.49649,0.63665,0.93226,0.00058925,0.00058925,0.00058925
59,1729.02,0.69347,0.75294,1.09998,0.99766,0.94545,0.95156,0.87664,0.46944,0.62214,0.91744,0.0005645,0.0005645,0.0005645
60,1748.29,0.63806,0.61232,1.0483,0.99838,0.94545,0.96283,0.87016,0.4545,0.61091,0.90899,0.00053975,0.00053975,0.00053975
61,1767.27,0.61264,0.65689,1.07275,0.99876,0.94545,0.96281,0.87372,0.45778,0.59318,0.90166,0.000515,0.000515,0.000515
62,1786.08,0.65554,0.67765,1.00958,0.99876,0.94545,0.96281,0.87372,0.45778,0.59318,0.90166,0.00049025,0.00049025,0.00049025
63,1804.77,0.6552,0.6938,1.04261,0.99881,0.94545,0.95586,0.86453,0.48463,0.60183,0.91206,0.0004655,0.0004655,0.0004655
64,1823.27,0.5729,0.57987,0.99847,0.99877,0.94545,0.96489,0.86091,0.49086,0.60175,0.9102,0.00044075,0.00044075,0.00044075
65,1842.39,0.63406,0.63483,1.03886,0.99872,0.94545,0.94629,0.85842,0.48392,0.59191,0.90825,0.000416,0.000416,0.000416
66,1861.67,0.57222,0.6356,1.01034,0.99867,0.94545,0.94543,0.87006,0.47104,0.58476,0.90983,0.00039125,0.00039125,0.00039125
67,1881,0.62276,0.66509,1.02819,0.99861,0.94545,0.94547,0.8645,0.4697,0.58814,0.90776,0.0003665,0.0003665,0.0003665
68,1901.69,0.56951,0.58944,0.9821,0.99864,0.94545,0.95309,0.86894,0.46845,0.58001,0.906,0.00034175,0.00034175,0.00034175
69,1922.59,0.59672,0.62018,1.03882,0.99864,0.94545,0.95209,0.86698,0.45576,0.56125,0.89985,0.000317,0.000317,0.000317
70,1943.66,0.57984,0.60868,0.97912,0.99864,0.94545,0.95209,0.86698,0.45576,0.56125,0.89985,0.00029225,0.00029225,0.00029225
71,1963.83,0.41152,0.65805,0.88962,0.99868,0.94545,0.9456,0.87428,0.45485,0.56317,0.90528,0.0002675,0.0002675,0.0002675
72,1983.31,0.40012,0.66975,0.87503,0.9987,0.94545,0.94598,0.87177,0.45514,0.5648,0.90721,0.00024275,0.00024275,0.00024275
73,2002.77,0.43257,0.66426,0.91661,0.99878,0.94545,0.9457,0.87179,0.44739,0.56833,0.90133,0.000218,0.000218,0.000218
74,2022.79,0.42382,0.6667,0.90126,0.99882,0.94545,0.96529,0.87631,0.43589,0.57208,0.89439,0.00019325,0.00019325,0.00019325
75,2042.4,0.42635,0.62008,0.8997,0.99882,0.94545,0.95309,0.88887,0.42442,0.57697,0.88691,0.0001685,0.0001685,0.0001685
76,2062.1,0.41675,0.63321,0.91102,0.99883,0.94545,0.94669,0.89135,0.41348,0.57948,0.88107,0.00014375,0.00014375,0.00014375
77,2081.43,0.38881,0.63825,0.90646,0.99883,0.94545,0.96145,0.89765,0.40462,0.58213,0.87697,0.000119,0.000119,0.000119
78,2100.82,0.3941,0.61791,0.89496,0.99883,0.94545,0.96145,0.89765,0.40462,0.58213,0.87697,9.425e-05,9.425e-05,9.425e-05
79,2146.14,0.38991,0.61974,0.86429,0.99882,0.94545,0.96075,0.89835,0.40173,0.58078,0.87608,6.95e-05,6.95e-05,6.95e-05
80,2168.77,0.41395,0.64491,0.91911,0.99883,0.94545,0.95957,0.89631,0.40204,0.57893,0.87753,4.475e-05,4.475e-05,4.475e-05
